#version: 1.0
#This file will not update if you make any changes.
#aliases,id,metadata
woodenbutton,wood_button,0
woodbutton,wood_button,0
anvil,anvil,0
trappedchest,trapped_chest,0
trapchest,trapped_chest,0
weightedgoldpressureplate,gold_plate,0
weightgoldpressureplate,gold_plate,0
goldpressureplate,gold_plate,0
weightedgoldplate,gold_plate,0
weightgoldplate,gold_plate,0
goldplate,gold_plate,0
weightedironpressureplate,iron_plate,0
weightironpressureplate,iron_plate,0
ironpressureplate,iron_plate,0
weightedironplate,iron_plate,0
weightironplate,iron_plate,0
ironplate,iron_plate,0
daylightsensor,daylight_detector,0
daylightsense,daylight_detector,0
lightsensor,daylight_detector,0
lightsense,daylight_detector,0
daysensor,daylight_detector,0
daysense,daylight_detector,0
timesensor,daylight_detector,0
timesense,daylight_detector,0
redstoneblock,redstone_block,0
rstoneblock,redstone_block,0
redsblock,redstone_block,0
rsblock,redstone_block,0
blockredstone,redstone_block,0
blockrstone,redstone_block,0
blockreds,redstone_block,0
blockrs,redstone_block,0
netherquartzore,quartz_ore,0
quartzore,quartz_ore,0
hopper,hopper,0
normalquartzblock,quartz_block,0
quartzblock,quartz_block,0
blocknormalquartz,quartz_block,0
blockquartz,quartz_block,0
chiseledquartzblock,quartz_block,1
blockchiseledquartz,quartz_block,1
pillarquartzblock,quartz_block,2
blockpillarquartz,quartz_block,2
quartzstairs,quartz_stairs,0
quartzstair,quartz_stairs,0
activatorrails,activator_rail,0
activaterails,activator_rail,0
activatorrail,activator_rail,0
activaterail,activator_rail,0
activatortrack,activator_rail,0
activatetrack,activator_rail,0
dropper,dropper,0
ironshovel,iron_spade,0
ironspade,iron_spade,0
ironpickaxe,iron_pickaxe,0
ironpick,iron_pickaxe,0
ironaxe,iron_axe,0
flintandsteel,flint_and_steel,0
flintandiron,flint_and_steel,0
flintandtinder,flint_and_steel,0
flintnsteel,flint_and_steel,0
flintniron,flint_and_steel,0
flintntinder,flint_and_steel,0
lighter,flint_and_steel,0
apple,apple,0
redapple,apple,0
bow,bow,0
arrow,arrow,0
coal,coal,0
charcoal,coal,1
diamond,diamond,0
ironingot,iron_ingot,0
ironbar,iron_ingot,0
goldingot,gold_ingot,0
goldbar,gold_ingot,0
ironsword,iron_sword,0
woodensword,wood_sword,0
woodenshovel,wood_spade,0
woodenspade,wood_spade,0
woodshovel,wood_spade,0
woodspade,wood_spade,0
woodenpickaxe,wood_pickaxe,0
woodenpick,wood_pickaxe,0
woodpickaxe,wood_pickaxe,0
woodpick,wood_pickaxe,0
woodenaxe,wood_axe,0
woodaxe,wood_axe,0
smoothstonesword,stone_sword,0
cobblestonesword,stone_sword,0
stonesword,stone_sword,0
smoothstoneshovel,stone_spade,0
smoothstonespade,stone_spade,0
cobblestoneshovel,stone_spade,0
cobblestonespade,stone_spade,0
stoneshovel,stone_spade,0
stonespade,stone_spade,0
smoothstonepickaxe,stone_pickaxe,0
cobblestonepickaxe,stone_pickaxe,0
smoothstonepick,stone_pickaxe,0
cobblestonepick,stone_pickaxe,0
sstonepickaxe,stone_pickaxe,0
sstonepick,stone_pickaxe,0
cstonepickaxe,stone_pickaxe,0
cstonepick,stone_pickaxe,0
stonepickaxe,stone_pickaxe,0
stonepick,stone_pickaxe,0
smoothstoneaxe,stone_axe,0
cobblestoneaxe,stone_axe,0
stoneaxe,stone_axe,0
diamondsword,diamond_sword,0
diamondshovel,diamond_spade,0
diamondspade,diamond_spade,0
diamondpickaxe,diamond_pickaxe,0
diamondpick,diamond_pickaxe,0
diamondaxe,diamond_axe,0
stick,stick,0
twig,stick,0
bowl,bowl,0
mushroomsoup,mushroom_soup,0
soup,mushroom_soup,0
goldsword,gold_sword,0
goldshovel,gold_spade,0
goldspade,gold_spade,0
goldpickaxe,gold_pickaxe,0
goldpick,gold_pickaxe,0
goldaxe,gold_axe,0
string,string,0
feather,feather,0
gunpowder,sulphur,0
sulfur,sulphur,0
sulphur,sulphur, 0
woodenhoe,wood_hoe,0
woodhoe,wood_hoe,0
smoothstonehoe,stone_hoe,0
cobblestonehoe,stone_hoe,0
stonehoe,stone_hoe,0
ironhoe,iron_hoe,0
diamondhoe,diamond_hoe,0
goldhoe,gold_hoe,0
seeds,seeds,0
seed,seeds,0
wheat,wheat,0
bread,bread,0
leatherhelmet,leather_helmet,0
leatherhelm,leather_helmet,0
leatherhat,leather_helmet,0
leatherchestplate,leather_chestplate,0
leathershirt,leather_chestplate,0
leathertunic,leather_chestplate,0
leatherleggings,leather_leggings,0
leatherpants,leather_leggings,0
leatherboots,leather_boots,0
leathershoes,leather_boots,0
chainmailhelmet,chainmail_helmet,0
chainmailhelm,chainmail_helmet,0
chainmailhat,chainmail_helmet,0
chainhelmet,chainmail_helmet,0
chainhelm,chainmail_helmet,0
chainhat,chainmail_helmet,0
chainmailchestplate,chainmail_chestplate,0
chainmailshirt,chainmail_chestplate,0
chainmailtunic,chainmail_chestplate,0
chainchestplate,chainmail_chestplate,0
chainplatebody,chainmail_chestplate,0
chainplate,chainmail_chestplate,0
chainshirt,chainmail_chestplate,0
chaintunic,chainmail_chestplate,0
chainmailleggings,chainmail_leggings,0
chainmailpants,chainmail_leggings,0
chainleggings,chainmail_leggings,0
chainpants,chainmail_leggings,0
chainmailboots,chainmail_boots,0
chainmailshoes,chainmail_boots,0
chainboots,chainmail_boots,0
chainshoes,chainmail_boots,0
ironhelmet,iron_helmet,0
ironhelm,iron_helmet,0
ironhat,iron_helmet,0
ironchestplate,iron_chestplate,0
ironplatebody,iron_chestplate,0
ironshirt,iron_chestplate,0
irontunic,iron_chestplate,0
ironleggings,iron_leggings,0
ironpants,iron_leggings,0
ironboots,iron_boots,0
ironshoes,iron_boots,0
diamondhelmet,diamond_helmet,0
diamondhelm,diamond_helmet,0
diamondhat,diamond_helmet,0
diamondchestplate,diamond_chestplate,0
diamondplate,diamond_chestplate,0
diamondshirt,diamond_chestplate,0
diamondtunic,diamond_chestplate,0
diamondleggings,diamond_leggings,0
diamondpants,diamond_leggings,0
diamondboots,diamond_boots,0
diamondshoes,diamond_boots,0
goldhelmet,gold_helmet,0
goldhelm,gold_helmet,0
goldhat,gold_helmet,0
goldchestplate,gold_chestplate,0
goldshirt,gold_chestplate,0
goldtunic,gold_chestplate,0
goldleggings,gold_leggings,0
goldpants,gold_leggings,0
goldboots,gold_boots,0
goldshoes,gold_boots,0
flint,flint,0
pork,pork,0
porkchop,pork,0
rawpork,pork,0
rawporkchop,pork,0
grilledpork,grilled_pork,0
cookedpork,grilled_pork,0
grilledporkchop,grilled_pork,0
cookedporkchop,grilled_pork,0
bacon,grilled_pork,0
painting,painting,0
picture,painting,0
goldenapple,golden_apple,0
goldapple,golden_apple,0
enchantedgoldenapple,golden_apple,1
enchantedgoldapple,golden_apple,1
supergoldenapple,golden_apple,1
supergoldapple,golden_apple,1
magicalgoldenapple,golden_apple,1
magicalgoldapple,golden_apple,1
magicgoldenapple,golden_apple,1
magicgoldapple,golden_apple,1
sign,sign,0
woodendoor,wood_door,0
wooddoor,wood_door,0
door,wood_door,0
bucket,bucket,0
waterbucket,water_bucket,0
magmabucket,lava_bucket,0
lavabucket,lava_bucket,0
minecart,minecart,0
cart,minecart,0
saddle,saddle,0
irondoor,iron_door,0
redstonedust,redstone,0
redstone,redstone,0
snow,snow_ball,0
snowball,snow_ball,0
boat,boat,0
leather,leather,0
milkbucket,milk_bucket,0
claybrick,clay_brick,0
brick,clay_brick,0
clayball,clay_ball,0
clay,clay_ball,0
reeds,sugar_cane,0
reed,sugar_cane,0
sugarcane,sugar_cane,0
paper,paper,0
book,book,0
slimeball,slime_ball,0
storageminecart,storage_minecart,0
chestminecart,storage_minecart,0
storagecart,storage_minecart,0
chestcart,storage_minecart,0
engineminecart,powered_minecart,0
poweredminecart,powered_minecart,0
furnaceminecart,powered_minecart,0
enginecart,powered_minecart,0
poweredcart,powered_minecart,0
powercart,powered_minecart,0
furnacecart,powered_minecart,0
egg,egg,0
compass,compass,0
fishingrod,fishing_rod,0
rod,fishing_rod,0
goldwatch,watch,0
goldclock,watch,0
watch,watch,0
clock,watch,0
glowstoneblockdust,glowstone_dust,0
blockglowstonedust,glowstone_dust,0
glowstonedust,glowstone_dust,0
rawfish,raw_fish,0
fish,raw_fish,0
cookedfish,cooked_fish,0
grilledfish,cooked_fish,0
roastedfish,cooked_fish,0
blackdye,ink_sack,0
inksack,ink_sack,0
inksac,ink_sack,0
blackinksack,ink_sack,0
blackinksac,ink_sack,0
rosered,ink_sack,1
rosereddye,ink_sack,1
reddye,ink_sack,1
cactusgreen,ink_sack,2
cactusgreendye,ink_sack,2
greendye,ink_sack,2
browndye,ink_sack,3
cocoabeans,ink_sack,3
cocoabean,ink_sack,3
cocobeans,ink_sack,3
cocobean,ink_sack,3
lapislazuli,ink_sack,4
lapis,ink_sack,4
bluedye,ink_sack,4
purpledye,ink_sack,5
cyandye,ink_sack,6
lightgraydye,ink_sack,7
silverdye,ink_sack,7
darkgraydye,ink_sack,8
graydye,ink_sack,8
pinkdye,ink_sack,9
limedye,ink_sack,10
dandelionyellow,ink_sack,11
yellowdye,ink_sack,11
lightbluedye,ink_sack,12
magentadye,ink_sack,13
orangedye,ink_sack,14
bonemeal,ink_sack,15
whitedye,ink_sack,15
bone,bone,0
sugar,sugar,0
cake,cake,0
bed,bed,0
redstonerepeater,diode,0
repeater,diode,0
cookie,cookie,0
map0,map,0
map1,map,1
map2,map,2
map3,map,3
map4,map,4
map5,map,5
map6,map,6
map7,map,7
map8,map,8
map9,map,9
map10,map,10
map11,map,11
map12,map,12
map13,map,13
map14,map,14
map15,map,15
shears,shears,0
shear,shears,0
sheers,shears,0
sheer,shears,0
melonslice,melon,0
watermelonslice,melon,0
greenmelonslice,melon,0
pumpkinseeds,pumpkin_seeds,0
melonseeds,melon_seeds,0
watermelonseeds,melon_seeds,0
greenmelonseeds,melon_seeds,0
rawbeef,raw_beef,0
rawsteak,raw_beef,0
uncookedbeef,raw_beef,0
uncookedsteak,raw_beef,0
cowmeat,raw_beef,0
plainbeef,raw_beef,0
beef,cooked_beef,0
steak,cooked_beef,0
cookedbeef,cooked_beef,0
grilledbeef,cooked_beef,0
cookedsteak,cooked_beef,0
grilledsteak,cooked_beef,0
cookedcowmeat,cooked_beef,0
rawchicken,raw_chicken,0
uncookedchicken,raw_chicken,0
plainchicken,raw_chicken,0
cookedchicken,cooked_chicken,0
grilledchicken,cooked_chicken,0
toastedchicken,cooked_chicken,0
bbqchicken,cooked_chicken,0
friedchicken,cooked_chicken,0
rottenflesh,rotten_flesh,0
zombieflesh,rotten_flesh,0
rottenmeat,rotten_flesh,0
zombiemeat,rotten_flesh,0
enderpearl,ender_pearl,0
pearl,ender_pearl,0
blazerod,blaze_rod,0
ghasttear,ghast_tear,0
goldnugget,gold_nugget,0
netherwart,nether_stalk,0
netherwarts,nether_stalk,0
potion,potion,0
waterbottle,potion,0
glassbottle,glass_bottle,0
bottle,glass_bottle,0
emptyglassbottle,glass_bottle,0
emptybottle,glass_bottle,0
spidereye,spider_eye,0
spiderseye,spider_eye,0
fermentedspidereye,fermented_spider_eye,0
blazepowder,blaze_powder,0
blazedust,blaze_powder,0
magmacream,magma_cream,0
brewingstand,brewing_stand_item,0
potionstand,brewing_stand_item,0
cauldronitem,cauldron_item,0
eyeofender,eye_of_ender,0
endereye,eye_of_ender,0
speckledmelon,speckled_melon,0
goldmelon,speckled_melon,0
sparklymelon,speckled_melon,0
glisteningmelon,speckled_melon,0
glisteringmelon,speckled_melon,0
shiningmelon,speckled_melon,0
bottleofenchanting,exp_bottle,0
enchantingbottle,exp_bottle,0
expbottle,exp_bottle,0
xpbottle,exp_bottle,0
bottleexp,exp_bottle,0
bottlexp,exp_bottle,0
enchantbottle,exp_bottle,0
firecharge,fireball,0
fireball,fireball,0
bookandquill,book_and_quill,0
booknquill,book_and_quill,0
bookandfeather,book_and_quill,0
booknfeather,book_and_quill,0
writeablebook,book_and_quill,0
writtenbook,written_book,0
readablebook,written_book,0
sealedbook,written_book,0
diary,written_book,0
ownedbook,written_book,0
emerald,emerald,0
itemframe,item_frame,0
flowerpot,flower_pot,0
pot,flower_pot,0
carrot,carrot_item,0
potato,potato_item,0
bakedpotato,baked_potato,0
roastedpotato,baked_potato,0
cookedpotato,baked_potato,0
poisonouspotato,poisonous_potato,0
poisonpotato,poisonous_potato,0
emptymap,empty_map,0
map,empty_map,0
goldencarrot,golden_carrot,0
goldcarrot,golden_carrot,0
skeletonhead,skull_item,0
skeletonskull,skull_item,0
witherhead,skull_item,1
witherskeletonhead,skull_item,1
headwither,skull_item,1
headwitherskeleton,skull_item,1
witherskull,skull_item,1
witherskeletonskull,skull_item,1
zombiehead,skull_item,2
zombieskull,skull_item,2
playerhead,skull_item,3
playerskull,skull_item,3
creeperhead,skull_item,4
creeperskull,skull_item,4
carrotonastick,carrot_stick,0
carrotonstick,carrot_stick,0
netherstar,nether_star,0
pumpkinpie,pumpkin_pie,0
pie,pumpkin_pie,0
redstonecomparator,redstone_comparator,0
comparator,redstone_comparator,0
netherbrick,nether_brick_item,0
netherquartz,quartz,0
tntminecart,explosive_minecart,0
tntcart,explosive_minecart,0
hopperminecart,hopper_minecart,0
hoppercart,hopper_minecart,0
ironhorsearmor,iron_barding,0
ironbarding,iron_barding,0
goldhorsearmor,gold_barding,0
goldbarding,gold_barding,0
diamondhorsearmor,diamond_barding,0
diamondbarding,diamond_barding,0
lead,leash,0
leash,leash,0
nametag,name_tag,0
goldmusicrecord,gold_record,0
goldmusicdisk,gold_record,0
goldmusicdisc,gold_record,0
goldmusiccd,gold_record,0
13musicrecord,gold_record,0
13musicdisk,gold_record,0
13musicdisc,gold_record,0
13musiccd,gold_record,0
greenmusicrecord,green_record,0
greenmusicdisk,green_record,0
greenmusicdisc,green_record,0
greenmusiccd,green_record,0
catmusicrecord,green_record,0
catmusicdisk,green_record,0
catmusicdisc,green_record,0
catmusiccd,green_record,0
orangemusicrecord,record_3,0
orangemusicdisk,record_3,0
orangemusicdisc,record_3,0
orangemusiccd,record_3,0
blocksmusicrecord,record_3,0
blocksmusicdisk,record_3,0
blocksmusicdisc,record_3,0
blocksmusiccd,record_3,0
redmusicrecord,record_4,0
redmusicdisk,record_4,0
redmusicdisc,record_4,0
redmusiccd,record_4,0
chirpmusicrecord,record_4,0
chirpmusicdisk,record_4,0
chirpmusicdisc,record_4,0
chirpmusiccd,record_4,0
lightgreenmusicrecord,record_5,0
lightgreenmusicdisk,record_5,0
lightgreenmusicdisc,record_5,0
lightgreenmusiccd,record_5,0
farmusicrecord,record_5,0
farmusicdisk,record_5,0
farmusicdisc,record_5,0
farmusiccd,record_5,0
purplemusicrecord,record_6,0
purplemusicdisk,record_6,0
purplemusicdisc,record_6,0
purplemusiccd,record_6,0
mallmusicrecord,record_6,0
mallmusicdisk,record_6,0
mallmusicdisc,record_6,0
mallmusiccd,record_6,0
pinkmusicrecord,record_7,0
pinkmusicdisk,record_7,0
pinkmusicdisc,record_7,0
pinkmusiccd,record_7,0
mellohimusicrecord,record_7,0
mellohimusicdisk,record_7,0
mellohimusicdisc,record_7,0
mellohimusiccd,record_7,0
blackmusicrecord,record_8,0
blackmusicdisk,record_8,0
blackmusicdisc,record_8,0
blackmusiccd,record_8,0
stalmusicrecord,record_8,0
stalmusicdisk,record_8,0
stalmusicdisc,record_8,0
stalmusiccd,record_8,0
whitemusicrecord,record_9,0
whitemusicdisk,record_9,0
whitemusicdisc,record_9,0
whitemusiccd,record_9,0
stradmusicrecord,record_9,0
stradmusicdisk,record_9,0
stradmusicdisc,record_9,0
stradmusiccd,record_9,0
darkgreenmusicrecord,record_10,0
darkgreenmusicdisk,record_10,0
darkgreenmusicdisc,record_10,0
darkgreenmusiccd,record_10,0
wardmusicrecord,record_10,0
wardmusicdisk,record_10,0
wardmusicdisc,record_10,0
wardmusiccd,record_10,0
crackedmusicrecord,record_11,0
crackedmusicdisk,record_11,0
crackedmusicdisc,record_11,0
crackedmusiccd,record_11,0
crackmusicrecord,record_11,0
crackmusicdisk,record_11,0
crackmusicdisc,record_11,0
crackmusiccd,record_11,0
11musicrecord,record_12,0
11musicdisk,record_12,0
11musicdisc,record_12,0
11musiccd,record_12,0
